FAD-0001.mpi40.out:Total Dipole Moment    :      0.00924       0.02615       0.00162
FAD-0002.mpi40.out:Total Dipole Moment    :     -0.01437       0.00246       0.00490
FAD-0003.mpi40.out:Total Dipole Moment    :      0.00581      -0.01865       0.00047
FAD-0004.mpi40.out:Total Dipole Moment    :     -0.01159       0.03360      -0.00153
FAD-0005.mpi40.out:Total Dipole Moment    :     -0.00904       0.03047      -0.00515
FAD-0006.mpi40.out:Total Dipole Moment    :     -0.01174       0.03941       0.00911
FAD-0007.mpi40.out:Total Dipole Moment    :      0.03434       0.01913       0.02190
FAD-0008.mpi40.out:Total Dipole Moment    :     -0.00739       0.03533       0.01327
FAD-0009.mpi40.out:Total Dipole Moment    :      0.04046       0.00118       0.02020
FAD-0010.mpi40.out:Total Dipole Moment    :      0.01170       0.00278      -0.02085
FAD-0011.mpi40.out:Total Dipole Moment    :      0.01285      -0.04931      -0.00859
FAD-0012.mpi40.out:Total Dipole Moment    :     -0.01945       0.03299       0.00128
FAD-0013.mpi40.out:Total Dipole Moment    :      0.01728      -0.09336      -0.01340
FAD-0014.mpi40.out:Total Dipole Moment    :      0.00069      -0.02953       0.01181
FAD-0015.mpi40.out:Total Dipole Moment    :     -0.03606      -0.05715       0.00638
FAD-0016.mpi40.out:Total Dipole Moment    :     -0.02541       0.06122      -0.00307
FAD-0017.mpi40.out:Total Dipole Moment    :     -0.04811       0.04953       0.03255
FAD-0018.mpi40.out:Total Dipole Moment    :     -0.03292       0.00139       0.01782
FAD-0019.mpi40.out:Total Dipole Moment    :     -0.02499       0.07077       0.01798
FAD-0020.mpi40.out:Total Dipole Moment    :      0.02932      -0.05336      -0.02483
FAD-0021.mpi40.out:Total Dipole Moment    :      0.02966      -0.02709      -0.01098
FAD-0022.mpi40.out:Total Dipole Moment    :      0.01257       0.03825      -0.00727
FAD-0023.mpi40.out:Total Dipole Moment    :      0.04752       0.00613       0.00296
FAD-0024.mpi40.out:Total Dipole Moment    :     -0.07377       0.04815       0.03065
FAD-0025.mpi40.out:Total Dipole Moment    :      0.01254      -0.06223      -0.03447
FAD-0026.mpi40.out:Total Dipole Moment    :      0.01388      -0.00537      -0.07600
FAD-0027.mpi40.out:Total Dipole Moment    :      0.01546       0.05804      -0.01152
FAD-0028.mpi40.out:Total Dipole Moment    :      0.01567      -0.00968      -0.01650
FAD-0029.mpi40.out:Total Dipole Moment    :     -0.03972       0.08750       0.01663
FAD-0030.mpi40.out:Total Dipole Moment    :      0.04665      -0.00132      -0.15936
FAD-0031.mpi40.out:Total Dipole Moment    :     -0.05752       0.06612      -0.07481
FAD-0032.mpi40.out:Total Dipole Moment    :     -0.04403       0.07709      -0.02445
FAD-0033.mpi40.out:Total Dipole Moment    :     -0.03696      -0.00800       0.04512
FAD-0034.mpi40.out:Total Dipole Moment    :      0.03445      -0.00434      -0.15713
FAD-0035.mpi40.out:Total Dipole Moment    :     -0.04881      -0.04525       0.01340
FAD-0036.mpi40.out:Total Dipole Moment    :      0.01431      -0.04896       0.06316
FAD-0037.mpi40.out:Total Dipole Moment    :      0.00470       0.07684      -0.03499
FAD-0038.mpi40.out:Total Dipole Moment    :     -0.01936       0.07136      -0.01509
FAD-0039.mpi40.out:Total Dipole Moment    :      0.11787       0.00952      -0.06281
FAD-0040.mpi40.out:Total Dipole Moment    :     -0.06358       0.07105      -0.08443
FAD-0041.mpi40.out:Total Dipole Moment    :      0.05868       0.01644      -0.04514
FAD-0042.mpi40.out:Total Dipole Moment    :     -0.04471      -0.03878       0.01252
FAD-0043.mpi40.out:Total Dipole Moment    :      0.08018       0.00451       0.03964
FAD-0044.mpi40.out:Total Dipole Moment    :      0.02350       0.00222       0.10421
